The Quarter Ladprao by UHG,0.83123,4.5,1
Chatrium Hotel Riverside Bangkok,0.89579,4.5,2
The Quarter Silom by UHG,0.95821,5.0,3
The Quarter Hualamphong By UHG,0.93105,5.0,4
The Quarter Phromphong By UHG,0.90446,5.0,5
The Quarter Ari by UHG,0.8196,4.5,6
Sindhorn Midtown Hotel Bangkok,0.89965,5.0,7
Banyan Tree Bangkok,0.8542,4.5,8
SKYVIEW Hotel Bangkok,0.84534,4.5,9
Novotel Bangkok Platinum Pratunam,0.93857,4.5,10
Siri Sathorn Bangkok by UHG,0.81394,4.5,11
Evergreen Place Siam by UHG,0.8672,4.5,12
Millennium Hilton Bangkok,0.75711,4.5,13
Carlton Hotel Bangkok Sukhumvit,0.93564,5.0,14
Swissotel Bangkok Ratchada,0.89512,4.5,15
Hotel Verve,0.89785,4.5,16
Centara Grand at Central Plaza Ladprao Bangkok,0.74164,4.5,17
Novotel Bangkok on Siam Square,0.77144,4.0,18
FuramaXclusive Sathorn,0.84791,4.0,19
The Raweekanlaya Bangkok,0.82027,4.5,20
